session_id,item_id,date
1,1001,2020-12-18 21:25:00.373
1,1002,2020-12-18 21:26:00.373
1,1003,2020-12-18 21:27:00.373
1,1004,2020-12-18 21:28:00.373
2,1001,2020-12-19 10:25:00.373
2,1002,2020-12-19 10:26:00.373
2,1005,2020-12-19 10:27:00.373
3,1001,2020-12-20 15:25:00.373
3,1002,2020-12-20 15:26:00.373
3,1006,2020-12-20 15:27:00.373
4,2001,2020-12-21 09:25:00.373
4,2002,2020-12-21 09:26:00.373
4,2003,2020-12-21 09:27:00.373
5,2001,2020-12-22 14:25:00.373
5,2002,2020-12-22 14:26:00.373
5,2004,2020-12-22 14:27:00.373
6,3001,2020-12-23 11:25:00.373
6,3002,2020-12-23 11:26:00.373
6,3003,2020-12-23 11:27:00.373
7,3001,2020-12-24 16:25:00.373
7,3002,2020-12-24 16:26:00.373
7,3004,2020-12-24 16:27:00.373
8,1001,2020-12-25 13:25:00.373
8,1002,2020-12-25 13:26:00.373
8,1007,2020-12-25 13:27:00.373
9,2001,2020-12-26 12:25:00.373
9,2002,2020-12-26 12:26:00.373
9,2005,2020-12-26 12:27:00.373
10,3001,2020-12-27 10:25:00.373
10,3002,2020-12-27 10:26:00.373
10,3005,2020-12-27 10:27:00.373
3,9655,2020-12-18 21:25:00.373
3,9655,2020-12-18 21:19:48.093
13,15654,2020-03-13 19:35:27.136
18,18316,2020-08-26 19:18:30.833
18,2507,2020-08-26 19:16:31.211
18,4026,2020-08-26 19:15:47.232
19,25772,2020-11-02 16:31:18.543
19,6341,2020-11-02 16:34:33.794
19,25555,2020-11-02 16:43:04.022
19,20033,2020-11-02 16:42:02.287
19,8281,2020-11-02 16:38:04.484
19,8268,2020-11-02 16:48:39.343
19,4385,2020-11-02 16:44:56.169
19,6704,2020-11-02 16:47:36.119
19,8316,2020-11-02 16:36:10.084
19,27638,2020-11-02 16:41:36.202
19,8813,2020-11-02 16:39:36.928
19,19896,2020-11-02 16:30:36.378
19,27937,2020-11-02 16:30:48.207
19,23687,2020-11-02 16:35:46.685
19,12804,2020-11-02 16:31:05.749
19,1755,2020-11-02 16:40:12.193
19,18936,2020-11-02 16:47:17.523
24,2927,2020-02-26 17:23:04.84
24,11662,2020-02-26 17:26:29.178
24,2927,2020-02-26 17:22:48.903
24,28075,2020-02-26 18:22:34.101
24,434,2020-02-26 17:27:11.894
24,16064,2020-02-26 17:26:05.585
24,10414,2020-02-26 18:21:51.891
24,18539,2020-02-26 18:18:48.152
24,18476,2020-02-26 18:24:32.77
28,11529,2020-05-18 12:51:10.994
28,11529,2020-05-18 12:51:32.916
28,16895,2020-05-18 12:50:24.248
28,21902,2020-05-18 12:51:51.761
31,25972,2021-04-20 19:38:03.816
31,16289,2021-04-20 19:39:17.092
31,2069,2021-04-20 19:40:21.952
31,27579,2021-04-20 19:43:43.813
31,26457,2021-04-20 19:41:29.179
31,2069,2021-04-20 19:39:29.968
31,4230,2021-04-20 19:45:23.203
31,264,2021-04-20 19:42:13.19
36,26536,2020-06-21 10:29:51.337
36,25417,2020-06-21 10:29:08.263
42,10395,2021-03-01 15:15:53.207
42,20523,2021-03-01 15:14:01.173
42,17472,2021-03-01 15:16:01.521
42,22492,2021-03-01 15:15:33.477
44,22747,2020-11-27 20:45:10.302
44,17089,2020-11-27 20:45:43.513
48,8398,2020-04-15 17:17:42.594
48,26404,2020-04-15 17:28:39.697
49,21358,2020-05-01 12:33:50.844
52,24636,2020-03-21 11:47:21.812
52,12047,2020-03-21 11:47:59.93
75,5409,2020-05-24 17:27:06.195
77,13214,2020-09-20 20:10:42.039
77,13214,2020-09-20 20:11:53.966
77,3173,2020-09-20 20:06:13.217
77,7935,2020-09-20 21:35:39.197
77,24315,2020-09-20 15:41:27.419
107,19062,2020-01-15 06:05:10.332
107,20147,2020-01-15 06:05:18.497
107,27477,2020-01-15 06:04:58.297
108,5434,2020-06-06 17:13:32.996
108,26130,2020-06-06 17:14:10.825
108,2536,2020-06-06 17:01:11.394
108,22860,2020-06-06 17:14:04.066
108,25964,2020-06-06 17:10:58.254
108,4816,2020-06-06 16:59:27.995
108,24454,2020-06-06 17:10:39.741
108,2925,2020-06-06 17:13:57.569
108,11843,2020-06-06 17:23:02.703
108,11386,2020-06-06 17:00:15.067
108,7159,2020-06-06 17:13:22.042
108,11256,2020-06-06 17:15:12.112
108,25896,2020-06-06 17:01:44.957
108,382,2020-06-06 17:13:47.635
108,12735,2020-06-06 17:09:14.875
108,13222,2020-06-06 17:23:46.361
108,5747,2020-06-06 17:08:38.518
108,2995,2020-06-06 17:02:07.611
108,13885,2020-06-06 17:12:00.687
108,12735,2020-06-06 17:05:34.324
108,11386,2020-06-06 17:12:49.417
108,4867,2020-06-06 17:05:09.531
108,27499,2020-06-06 17:12:37.786
108,12735,2020-06-06 16:59:51.413
108,25086,2020-06-06 17:15:01.597
108,15237,2020-06-06 17:02:52.823
108,15421,2020-06-06 17:24:00.12
113,2171,2021-05-05 13:19:15.147
113,17218,2021-05-05 14:13:21.645
113,15738,2021-05-05 13:19:54.211
113,19760,2021-05-05 13:18:49.495
113,21215,2021-05-05 14:03:43.401
113,6187,2021-05-05 13:18:20.994
115,16631,2021-05-27 10:14:06.491
